id,product_name,current_price,list_price,brand,category,cpu_spec,ram_spec,storage_spec,screen_spec,gpu_spec,os_spec,design_spec,size_weight_spec,connectivity_spec,promotions_text,average_rating,total_reviews,product_sku,product_url
1,"Laptop HP 15 fc0085AU - A6VV8PA (R5 7430U, 16GB, 512GB, Full HD, Win11)",13190000 *,14890000,HP,Laptop,,,,,,,,,,,4.9,0,hp-15-fc0085au-r5-a6vv8pa,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa
2,"Laptop Asus Vivobook Go 15 E1504FA - NJ776W (R5 7520U, 16GB, 512GB, Full HD, Win11)",12690000 *,14190000,Asus,Laptop,,,,,,,,,,,4.9,0,asus-vivobook-go-15-e1504fa-r5-nj776w,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w
3,"Laptop Dell Inspiron 15 3530 - N5I5530W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000 *,19590000,Dell,Laptop,,,,,,,,,,,5,0,dell-inspiron-15-3530-i5-n5i5530w1,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1
4,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)",15690000 *,16990000,Lenovo,Laptop,,,,,,,,,,,4.9,0,lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn
5,Laptop MacBook Air 13 inch M4 16GB/256GB,25090000,26490000,MacBook,Laptop,,,,,,,,,,,4.9,0,macbook-air-13-inch-m4-16gb-256gb,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb
