Tên,Giá,RAM,SSD
Lenovo LOQ 15ARP9 R7 7435HS (83JC00J0VN),27.690.000₫,N/A,N/A
HP 245 G10 R5 7530U (A20TDPT),12.390.000₫,N/A,N/A
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),22.690.000₫,N/A,N/A
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),20.290.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N5I7421W1),20.990.000₫,N/A,N/A
HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA),16.990.000₫,N/A,N/A
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),17.390.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11SLU),21.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14AKP10 R5 AI 340 (83HX0065VN),23.990.000₫,N/A,N/A
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN330W),19.690.000₫,N/A,N/A
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),20.590.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13500H (MA467W),16.690.000₫,N/A,N/A
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),22.190.000₫,N/A,N/A
MSI Thin 15 B13UC i7 13620H (1411VN_16GB),20.290.000₫,N/A,N/A
MacBook Pro 14 inch M4 16GB/1TB,44.090.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 52 72BM i7 13620H (NH.QZ9SV.004),30.690.000₫,N/A,N/A
HP 15 fr0036TU i5 13420H (BZ7U2PA),16.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (P16WD21),17.490.000₫,N/A,N/A
Acer Aspire 5 A515 58GM 598J i5 13420H (NX.KW1SV.002),15.990.000₫,N/A,N/A
Lenovo V14 G4 AMN R5 7520U (82YT00YNVN),12.490.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i7 13620H (MA570WS),19.990.000₫,N/A,N/A
Asus Vivobook S16 S3607VA i5 13420H (RP055WS),17.990.000₫,N/A,N/A
Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),23.790.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (N3520-i5U165W11SLU-BL),15.990.000₫,N/A,N/A
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),23.790.000₫,N/A,N/A
Lenovo LOQ 15ARP9 R5 7235HS (83JC00KUVN),24.190.000₫,N/A,N/A
MSI Katana 15 B13VEK i7 13620H (2256VN),25.190.000₫,N/A,N/A
Acer Aspire Lite 16 AI AL16 71P 5674 Ultra 5 125H (NX.D4XSV.001),16.590.000₫,N/A,N/A
MSI Thin 15 B13UC i7 13620H (1411VN),22.090.000₫,N/A,N/A
GIGABYTE G5 MF5 RC555 i5 13500H (9RC55MF5FEIAA1VN0C0),20.790.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (71053721),20.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (71053682),18.990.000₫,N/A,N/A
Acer Aspire Lite 14 AL14 51P 35QD i3 1305U (NX.J84SV.001),10.790.000₫,N/A,N/A
HP 240 G9 i3 1215U (AG2J5AT),10.390.000₫,N/A,N/A
Asus Vivobook X1404ZA i5 1235U (NK376W),13.690.000₫,N/A,N/A
HP Pavilion 16 af0053TU Ultra 7 155U (AY8C2PA),21.490.000₫,N/A,N/A
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),12.690.000₫,N/A,N/A
Lenovo LOQ 15IRX9 i5 13450HX (83DV00PSVN),24.690.000₫,N/A,N/A
Asus TUF Gaming A15 FA507NVR R7 7435HS (LP007W),26.190.000₫,N/A,N/A
MacBook Pro 14 inch M4 Pro 24GB/512GB,47.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14AKP10 R7 AI 350 (83HX0066VN),26.490.000₫,N/A,N/A
MSI Gaming Cyborg 15 A13VEK i7 13620H (1423VN),25.190.000₫,N/A,N/A
MSI Modern 15 F13MG i5 1334U (667VN_16GB),14.690.000₫,N/A,N/A
Dell 15 DC15250 i7 1355U (DC5I7748W1),20.990.000₫,N/A,N/A
Asus Vivobook S14 S3407CA Ultra 5 225H (LY095WS),20.990.000₫,N/A,N/A
Asus Vivobook 15 X1504ZA i5 1235U (NJ1546W),13.690.000₫,N/A,N/A
Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002),18.690.000₫,N/A,N/A
HP Pavilion 16 af0055TU Ultra 5 125U (AY8C4PA),19.490.000₫,N/A,N/A
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),15.990.000₫,N/A,N/A
HP 15 fd1063TU Ultra 5 125H (9Z2Y1PA),17.590.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (25P2315),18.990.000₫,N/A,N/A
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV01ALVN),29.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14AHP10 R7 8845HS (83HV001MVN),22.490.000₫,N/A,N/A
MSI Katana 15 B13UDXK i5 13420H (2410VN),20.690.000₫,N/A,N/A
MSI Katana 15 B13VEK i5 13420H (2416VN),23.290.000₫,N/A,N/A
Asus Vivobook 15 X1504VA i5 1334U (BQ2225WS),14.690.000₫,N/A,N/A
HP Pavilion 15 eg3112TU i7 1355U (8U6L9PA),20.590.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (N3520-i7U165W11BLU-FP),18.990.000₫,N/A,N/A
HP Probook 455 G10 R5 7530U (B8PG7AT),17.390.000₫,N/A,N/A
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV01AMVN),30.690.000₫,N/A,N/A
Acer Aspire 7 A715 76 53PJ i5 12450H (NH.QGESV.007),13.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10 i5 13420H (83HR005YVN),19.990.000₫,N/A,N/A
Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U (NX.J2SSV.005),17.690.000₫,N/A,N/A
Asus Vivobook 14 X1404VA i5 1335U (NK050W),14.690.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11SLU),13.490.000₫,N/A,N/A
MacBook Pro 14 inch Nano M4 Pro 24GB/512GB,51.290.000₫,N/A,N/A
MSI Gaming Bravo 15 B7ED R5 7535HS (010VN),17.190.000₫,N/A,N/A
MSI Gaming Cyborg 15 AI A1VEK Ultra 7 155H (053VN),28.690.000₫,N/A,N/A
Dell 15 DC15255 R5 7530U (DC5R5802W1),15.990.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (71053696),17.490.000₫,N/A,N/A
Asus Vivobook S 16 OLED S5606MA Ultra 5 125H (MX050W),23.690.000₫,N/A,N/A
HP Pavilion 16 af0052TU Ultra 7 155U (AY8C1PA),22.490.000₫,N/A,N/A
Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U (NX.J2SSV.004),14.690.000₫,N/A,N/A
Asus Vivobook X1404ZA i3 1215U (NK246W),10.290.000₫,N/A,N/A
Acer Aspire 7 A715 59G 73LB i7 12650H (NH.QX6SV.002),23.290.000₫,N/A,N/A
HP 240 G9 i5 1235U (AG2J7AT),14.990.000₫,N/A,N/A
Lenovo V14 G4 i7 1355U (83A00012VN),17.890.000₫,N/A,N/A
MSI VenturePro 16 AI A1VEG Ultra 7 155H (003VN),33.690.000₫,N/A,N/A
MSI Gaming Sword 16 HX B14VFKG i7 14700HX (045VN),36.690.000₫,N/A,N/A
Lenovo IdeaPad 5 2in1 14IRH9 i5 13420H (83KX003WVN),20.690.000₫,N/A,N/A
Asus Gaming V16 V3607VU Core 5 210H (RP192W),24.690.000₫,N/A,N/A
HP Pavilion 15 eg3095TU i5 1335U (8C5L6PA-16G),17.390.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (71069748),18.990.000₫,N/A,N/A
Acer Gaming Nitro V ANV15 51 53NE i5 13420H (NH.QNASV.002),17.590.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (N5I7125W1),18.990.000₫,N/A,N/A
